Cognome e Nome				Link
GAETAÊDavide Nicola Vincenzo		http://www.scopus.com/authid/detail.url?authorId=28767644800
GALATIÊAntonino				http://www.scopus.com/authid/detail.url?authorId=35226305100
GALLENTIÊGianluigi			http://www.scopus.com/authid/detail.uri?authorId=57056332600
GALLETTOÊLuigi				http://www.scopus.com/authid/detail.url?authorId=35228987700
GALLIÊFrancesca				https://www.scopus.com/authid/detail.uri?authorId=56127277600
GAMBELLIÊDanilo				http://www.scopus.com/authid/detail.url?authorId=7801379351
GATTOÊPaola				http://www.scopus.com/authid/detail.url?authorId=23392348600
GAVIGLIOÊAnna Antonia Maria		http://www.scopus.com/authid/detail.url?authorId=54412160600
GHELFIÊRino				http://www.scopus.com/authid/detail.url?authorId=15131840100
GIACCIOÊVincenzo				http://www.scopus.com/authid/detail.uri?authorId=57035471500
GIAMPIETRIÊElisa				https://www.scopus.com/authid/detail.uri?authorId=56784474500
GIANNETTOÊCarlo				http://www.scopus.com/authid/detail.url?authorId=55749809600
GIANNOCCAROÊGiacomo			https://www.scopus.com/authid/detail.uri?authorId=57001281500
GIORDANOÊClaudia				https://www.scopus.com/authid/detail.uri?authorId=57201151948
GONANOÊStefano				https://www.scopus.com/authid/detail.uri?authorId=57218844467
GORGITANOÊMaria Teresa			http://www.scopus.com/authid/detail.url?authorId=8442954000
GREGORIÊMario				https://www.scopus.com/authid/detail.uri?authorId=57208879793
GULISANOÊGiovanni			http://www.scopus.com/authid/detail.url?authorId=55773881300
GUTIERREZÊLuciano			http://www.scopus.com/authid/detail.url?authorId=7101720690
GUTIERREZÊMichele Mario			https://www.scopus.com/authid/detail.uri?authorId=57192304421
IEVOLIÊCorrado				http://www.scopus.com/authid/detail.url?authorId=6506749498
IOTTIÊMattia				https://www.scopus.com/authid/detail.uri?authorId=56142117500
ISEPPIÊLuca				http://www.scopus.com/authid/detail.url?authorId=51863970600
LA SALAÊPiermichele			https://www.scopus.com/authid/detail.uri?authorId=56182820600
LA VIAÊGiovanni				http://www.scopus.com/authid/detail.url?authorId=54418820100
LANFRANCHIÊMaurizio			http://www.scopus.com/authid/detail.url?authorId=38861996300
LERROÊMarco				https://www.scopus.com/authid/detail.uri?authorId=56893714400
LOMBARDIÊGinevra				http://www.scopus.com/authid/detail.url?authorId=12806695000
LUCERTINIÊGiulia				https://www.scopus.com/authid/detail.uri?authorId=56008116100
MADAUÊFabio Albino			https://www.scopus.com/authid/detail.uri?authorId=26536171300
MALORGIOÊGiulio Antonio			http://www.scopus.com/authid/detail.url?authorId=35226522100
MANCINIÊMaria Cecilia			http://www.scopus.com/authid/detail.url?authorId=7201788761
MANCUSOÊTeresina				http://www.scopus.com/authid/detail.url?authorId=39961728200
MARANGONÊFrancesco			https://www.scopus.com/authid/detail.uri?authorId=56994127200
MARCHINIÊAndrea				http://www.scopus.com/authid/detail.url?authorId=56023944900
